Occurrence Date,Department,Municipality,Lat,Long,Confidence ratio (km),Deaths,Trigger,Source,Rain Yesterday,Rain Today,Landslide
2012-08-13,CASANARE,AGUAZUL,5.13,-72.55,21.45,1,Human activity,UNGRD,8.6,10.0,1
2012-09-17,BOGOTA,BOGOTA,4.63,-74.11,11.6,3,Unknown,HEB,0.0,6.4,1
2012-09-29,VALLE DEL CAUCA,BOLIVAR (V),4.39,-76.35,15.38,3,Unknown,UNGRD,0.1,0.1,1
2012-10-06,HUILA,ISNOS,1.95,-76.18,10.95,10,Rainfall,UNGRD,8.4,1.9,1
2012-11-05,ANTIOQUIA,SAN LUIS,6.09,-75.06,1.84,2,Rainfall,UNGRD,0.4,7.5,1
2012-11-14,VALLE DEL CAUCA,DAGUA,3.63,-76.72,3.2,4,Human activity,UNGRD,5.9,12.7,1
2012-11-22,RISARALDA,APIA,5.14,-75.95,6.88,2,Unknown,UNGRD,32.0,1.0,1
2012-12-20,RISARALDA,DOSQUEBRADAS,4.84,-75.67,4.74,2,Unknown,UNGRD,0.1,0.6,1
2012-12-25,SANTANDER,PIEDECUESTA,6.97,-73.02,12.41,1,Unknown,UNGRD,0.0,6.4,1
2012-12-29,HUILA,NEIVA,3.01,-75.28,19.53,5,Rainfall,UNGRD,0.0,0.0,1
2013-02-07,SANTANDER,BUCARAMANGA,7.16,-73.11,6.99,2,Unknown,UNGRD,7.6,4.4,1
2013-02-09,HUILA,NEIVA,3.01,-75.28,19.53,1,Unknown,UNGRD,22.1,11.3,1
2013-02-15,CALDAS,MANIZALES,5.06,-75.51,2.5,1,Human activity,UNGRD,4.0,0.7,1
2013-04-22,CHOCO,ISTMINA,5.16,-76.69,24.48,1,Human activity,SIMMA,4.3,10.7,1
2013-04-25,TOLIMA,ROVIRA,4.22,-75.35,15.34,1,Unknown,UNGRD,0.5,0.0,1
2013-05-17,CAUCA,POPAYAN,2.47,-76.59,12.36,2,Unknown,SIMMA,1.9,1.0,1
2013-05-17,HUILA,TESALIA,2.53,-75.68,11.06,1,Human activity,UNGRD,2.1,0.8,1
2013-06-11,HUILA,RIVERA (H),2.78,-75.21,10.13,2,Human activity,SIMMA,1.7,4.5,1
2013-06-13,VALLE DEL CAUCA,DAGUA,3.79,-76.66,2.99,1,Unknown,UNGRD,0.3,0.0,1
2013-06-15,BOLIVAR,MONTECRISTO,8.02,-74.46,25.82,1,Rainfall,UNGRD - SIMMA,3.9,4.1,1
2013-06-18,ANTIOQUIA,ALEJANDRIA,6.36,-75.09,6.5,1,Unknown,UNGRD,7.0,10.2,1
2013-06-23,HUILA,RIVERA (H),2.78,-75.21,10.13,6,Unknown,SIMMA,0.0,1.2,1
2013-06-23,ANTIOQUIA,ZARAGOZA,7.48,-74.86,19.35,5,Rainfall,SIMMA,2.6,7.0,1
2013-06-25,RISARALDA,PEREIRA,4.8,-75.8,13.91,1,Unknown,UNGRD,0.2,0.3,1
2013-07-08,HUILA,SUAZA,1.8,-75.81,0.93,4,Unknown,UNGRD - SIMMA,3.3,2.9,1
2013-07-18,HUILA,SUAZA,1.87,-75.81,11.7,4,Human activity,UNGRD - SIMMA,2.5,0.4,1
2013-07-25,HUILA,IQUIRA,2.69,-75.67,10.65,5,Rainfall,News report - SIMMA,0.0,0.8,1
2013-07-25,HUILA,IQUIRA,2.66,-75.71,0.99,5,Unknown,UNGRD,0.0,0.8,1
2013-07-29,ARAUCA,SARAVENA,6.91,-71.85,17.33,2,Unknown,News report,7.9,5.4,1
2013-08-01,CAUCA,GUAPI,2.41,-77.69,28.59,3,Rainfall,SIMMA,1.5,0.3,1
2013-08-13,ANTIOQUIA,MEDELLIN,6.26,-75.61,10.86,2,Rainfall,UNGRD,13.0,17.7,1
2013-09-12,BOYACA,QUIPAMA,5.6,-74.27,7.3,4,Human activity,News report - SIMMA,1.0,10.6,1
2013-10-04,CAUCA,CALOTO,3.06,-76.32,9.22,1,Unknown,SIMMA,1.3,0.0,1
2013-10-29,ANTIOQUIA,ANGELOPOLIS,6.12,-75.72,5.1,1,Rainfall,UNGRD,0.0,1.0,1
